citation_key,title,authors,venue,year,doi,publication_status,primary_verification_source,metadata_match,action
muller2025analytical,"An analytical review of predictive methods for delivery delays in supply chains","Müller, Norman; Burggräf, Peter; Steinberg, Fabian; Sauer, Carl René; Schütz, Maximilian","Supply Chain Analytics 11, 100130",2025,10.1016/j.sca.2025.100130,PEER_REVIEWED,"Elsevier / DOI metadata",CORRECTED_VERIFIED,RETAIN
oliveira2021lead,"Lead Time Forecasting with Machine Learning Techniques for a Pharmaceutical Supply Chain","Biazon de Oliveira, Maiza; Zucchi, Giorgio; Lippi, Marco; Cordeiro, Douglas Farias; Rosa da Silva, Núbia; Iori, Manuel","ICEIS 2021, Vol. 1, 634-641",2021,10.5220/0010434406340641,PEER_REVIEWED,"SciTePress / DOI metadata",CORRECTED_VERIFIED,RETAIN
thomas2023application,"Application of Machine Learning Algorithms for Order Delivery Delay Prediction in Supply Chain Disruption Management","Thomas, Arun; Panicker, Vinay V.","Intelligent Manufacturing Systems in Industry 4.0, 491-500",2023,10.1007/978-981-99-1665-8_42,PEER_REVIEWED,"Springer / DOI metadata",CORRECTED_VERIFIED,RETAIN
zaghdoudi2024collaborative,"Collaborative and integrated data-driven delay prediction and supplier selection optimization: A case study in a furniture industry","Zaghdoudi, Mohamed Aziz; Hajri-Gabouj, Sonia; Ghezail, Feiza; Darmoul, Saber; Varnier, Christophe; Zerhouni, Noureddine","Computers & Industrial Engineering 197, 110590",2024,10.1016/j.cie.2024.110590,PEER_REVIEWED,"Elsevier / DOI metadata",CORRECTED_VERIFIED,RETAIN
bassiouni2024deep,"Deep learning approaches to identify order status in a complex supply chain","Bassiouni, Mahmoud M.; Chakrabortty, Ripon K.; Sallam, Karam M.; Hussain, Omar K.","Expert Systems with Applications 250, 123947",2024,10.1016/j.eswa.2024.123947,PEER_REVIEWED,"Elsevier / DOI metadata",CORRECTED_VERIFIED,RETAIN
hupman2024predicting,"Predicting pharmaceutical supply chain disruptions before and during the COVID-19 pandemic","Hupman, Andrea C.; Zhang, Juan; Li, Haitao","Risk Analysis 44(12), 2797-2811",2024,10.1111/risa.17453,PEER_REVIEWED,"Wiley / PubMed / DOI metadata",CORRECTED_VERIFIED,RETAIN
gali2025predicting,"Predicting Global Healthcare Supply Chain Delays: A Machine Learning Approach Leveraging Country-level Logistics Metrics","Gali, Jeevan Sai; Molavi, Nima; Alavi, Sepideh","Journal of International Technology and Information Management 34(1), Article 3",2025,10.58729/1941-6679.1634,PEER_REVIEWED,"CSUSB ScholarWorks / DOI metadata",CORRECTED_VERIFIED,RETAIN
pathak2025predicting,"Predicting Global Supply Chain Delays for HIV Medicines Using SCaLDR: A Two-stage ML Framework","Pathak, N.; Keshari, S.; Rai, S.; Saksham, K.; Raj, P.","2025 IEEE 9th International Conference on Information and Communication Technology (CICT)",2025,10.1109/CICT67193.2025.11399211,PEER_REVIEWED,"IEEE indexed DOI metadata",CORRECTED_VERIFIED,RETAIN
yang2026o2rdl,"O²RDL-net for joint risk classification and delay forecasting in logistics systems using interaction amplified deep","Yang, Xiao","Scientific Reports 16, 24683",2026,10.1038/s41598-026-55703-6,PEER_REVIEWED,"Nature / DOI metadata",CORRECTED_VERIFIED,RETAIN
faulkner2026uncertainty,"Uncertainty-Aware Delivery Delay Duration Prediction via Multi-Task Deep Learning","Faulkner, Stefan; Zandehshahvar, Reza; Eghbal Akhlaghi, Vahid; Ouellet, Sebastien; Jordan, Carsten; Van Hentenryck, Pascal","arXiv:2602.20271",2026,,PREPRINT_NOT_PEER_REVIEWED,"arXiv",CORRECTED_VERIFIED,RETAIN_WITH_FLAG
makhado2026conformal,"Conformal prediction-based sequential scheduling for container terminal operations under uncertainty","Makhado, Ndifelani; Sejeso, Matthews; Paepae, Thulane","Operations Research Perspectives 17, 100409",2026,10.1016/j.orp.2026.100409,PEER_REVIEWED,"Elsevier / DOI metadata",CORRECTED_VERIFIED,RETAIN
sadeek2026uncertainty,"Uncertainty quantification of departure delay considering network properties and conformal prediction framework","Sadeek, Soumik Nafis; Hanaoka, Shinya; Sugishita, Kashin","Journal of Air Transport Management 136, 103037",2026,10.1016/j.jairtraman.2026.103037,PEER_REVIEWED,"Elsevier / DOI metadata",CORRECTED_VERIFIED,RETAIN
liang2026freeports,"Freeports under the lens: securing container supply chains with a risk-based inspection framework","Liang, Xinrui; Fan, Shiqi; Li, Huanhuan; Goerlandt, Floris; Yang, Zaili","Transportation Research Part E 208, 104658",2026,10.1016/j.tre.2025.104658,PEER_REVIEWED,"Elsevier / DOI metadata",CORRECTED_VERIFIED,RETAIN
