citation_key,current_title,current_doi,resolved_title,resolved_doi,resolved_authors,resolved_venue,resolved_year,resolved_volume,resolved_issue,resolved_page,publisher_source,crossref_verified,doi_metadata_match,status,action,relevance,category,notes
yadav2015health,Health Product Supply Chains in Developing Countries: Diagnosis of the Root Causes of Underperformance and an Agenda for Reform,10.4161/23288604.2014.968005,Health Product Supply Chains in Developing Countries: Diagnosis of the Root Causes of Underperformance and an Agenda for Reform,10.4161/23288604.2014.968005,"Yadav, Prashant",Health Systems &amp; Reform,2015,1,2,142-154,Informa UK Limited,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,pharmaceutical supply chain vulnerability,
vledder2019improving,Improving Supply Chain for Essential Drugs in Low-Income Countries: Results from a Large Scale Randomized Experiment in Zambia,10.1080/23288604.2019.1596050,Improving Supply Chain for Essential Drugs in Low-Income Countries: Results from a Large Scale Randomized Experiment in Zambia,10.1080/23288604.2019.1596050,"Vledder, Monique and Friedman, Jed and Sjöblom, Mirja and Brown, Thomas and Yadav, Prashant",Health Systems &amp; Reform,2019,5,2,158-177,Informa UK Limited,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,pharmaceutical supply chain vulnerability,
baryannis2019supply,Supply chain risk management and artificial intelligence: state of the art and future research directions,10.1080/00207543.2018.1530476,Supply chain risk management and artificial intelligence: state of the art and future research directions,10.1080/00207543.2018.1530476,"Baryannis, George and Validi, Sahar and Dani, Samir and Antoniou, Grigoris",International Journal of Production Research,2018,57,7,2179-2202,Informa UK Limited,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,supply chain delay prediction,
kapoor2023leakage,Leakage and the reproducibility crisis in machine-learning-based science,10.1016/j.patter.2023.100804,Leakage and the reproducibility crisis in machine-learning-based science,10.1016/j.patter.2023.100804,"Kapoor, Sayash and Narayanan, Arvind",Patterns,2023,4,9,100804,Elsevier BV,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,temporal evaluation leakage in ML,
roberts2017crossvalidation,"Cross-validation strategies for data with temporal, spatial or phylogenetic structure",10.1111/ecog.02881,"Cross‐validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure",10.1111/ecog.02881,"Roberts, David R. and Bahn, Volker and Ciuti, Simone and Boyce, Mark S. and Elith, Jane and Guillera‐Arroita, Gurutzeta and Hauenstein, Severin and Lahoz‐Monfort, José J. and Schröder, Boris and Thuiller, Wilfried and Warton, David I. and Wintle, Brendan A. and Hartig, Florian and Dormann, Carsten F.",Ecography,2017,40,8,913-929,Wiley,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,temporal evaluation leakage in ML,
bergmeir2012use,On the use of cross-validation for time series predictor evaluation,10.1016/j.ins.2011.12.028,On the use of cross-validation for time series predictor evaluation,10.1016/j.ins.2011.12.028,"Bergmeir, Christoph and Benítez, José M.",Information Sciences,2012,191,,192-213,Elsevier BV,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,temporal evaluation leakage in ML,
deprado2018advances,Advances in Financial Machine Learning,10.1002/9781119482109,,10.1002/9781119482109,,,,,,,John Wiley & Sons,False,False,LOOKUP_ERROR,RETAIN,DIRECT_SUPPORT,temporal embargoes and purging,Crossref lookup failed: HTTP Error 404: Not Found
platt1999probabilistic,Probabilistic Outputs for Support Vector Machines and Comparisons to Regularized Likelihood Methods,,,,,,,,,,MIT Press,False,True,NON_DOI_VERIFIED,RETAIN,DIRECT_SUPPORT,probability calibration fundamentals,
niculescu2005predicting,Predicting good probabilities with supervised learning,10.1145/1102351.1102430,Predicting good probabilities with supervised learning,10.1145/1102351.1102430,"Niculescu-Mizil, Alexandru and Caruana, Rich",Proceedings of the 22nd international conference on Machine learning  - ICML '05,2005,,,625-632,ACM Press,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,probability calibration fundamentals,
guo2017calibration,On Calibration of Modern Neural Networks,,,,,,,,,,PMLR,False,True,NON_DOI_VERIFIED,RETAIN,DIRECT_SUPPORT,expected calibration error,
zadrozny2002transforming,Transforming classifier scores into accurate multiclass probability estimates,10.1145/775047.775151,Transforming classifier scores into accurate multiclass probability estimates,10.1145/775047.775151,"Zadrozny, Bianca and Elkan, Charles",Proceedings of the eighth ACM SIGKDD international conference on Knowledge discovery and data mining,2002,,,694-699,ACM,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,probability calibration fundamentals,
brier1950verification,Verification of Forecasts Expressed in Terms of Probability,10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,VERIFICATION OF FORECASTS EXPRESSED IN TERMS OF PROBABILITY,10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,"BRIER, GLENN W.",Monthly Weather Review,1950,78,1,1-3,American Meteorological Society,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,expected calibration error,
koenker1978regression,Regression Quantiles,10.2307/1913643,Regression Quantiles,10.2307/1913643,"Koenker, Roger and Bassett, Gilbert",Econometrica,1978,46,1,33,JSTOR,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,quantile regression in operations,
meinshausen2006quantile,Quantile Random Forests,,,,,,,,,,JMLR,False,True,NON_DOI_VERIFIED,RETAIN,BACKGROUND_SUPPORT,quantile regression in operations,
kurentzes2020optimising,Optimising forecasting models for inventory planning,10.1016/j.ijpe.2019.107597,Optimising forecasting models for inventory planning,10.1016/j.ijpe.2019.107597,"Kourentzes, Nikolaos and Trapero, Juan R. and Barrow, Devon K.",International Journal of Production Economics,2020,225,,107597,Elsevier BV,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,quantile regression in operations,
vovk2005algorithmic,Algorithmic Learning in a Random World,10.1007/b106715,Algorithmic Learning in a Random World,10.1007/b106715,,,2005,,,,Springer-Verlag,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,conformalized quantile regression,
romano2019cqr,Conformalized Quantile Regression,,,,,,,,,,"Curran Associates, Inc.",False,True,NON_DOI_VERIFIED,RETAIN,DIRECT_SUPPORT,conformalized quantile regression,
tibshirani2019covariate,Conformal Prediction Under Covariate Shift,,,,,,,,,,"Curran Associates, Inc.",False,True,NON_DOI_VERIFIED,RETAIN,DIRECT_SUPPORT,conformalized quantile regression,
barber2023beyond,Conformal prediction beyond exchangeability,10.1214/23-AOS2276,Conformal prediction beyond exchangeability,10.1214/23-AOS2276,"Barber, Rina Foygel and Candès, Emmanuel J. and Ramdas, Aaditya and Tibshirani, Ryan J.",The Annals of Statistics,2023,51,2,,Institute of Mathematical Statistics,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,conformalized quantile regression,
gibbs2021adaptive,Adaptive Conformal Inference Under Distribution Shift,,,,,,,,,,"Curran Associates, Inc.",False,True,NON_DOI_VERIFIED,RETAIN,DIRECT_SUPPORT,conformalized quantile regression,
angelopoulos2023gentle,Conformal Prediction: A Gentle Introduction,10.1561/2200000101,Conformal Prediction: A Gentle Introduction,10.1561/2200000101,"Angelopoulos, Anastasios N. and Bates, Stephen",Foundations and Trends® in Machine Learning,2023,16,4,494-591,Emerald,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,conformalized quantile regression,
clopper1934use,The Use of Confidence or Fiducial Limits Illustrated in the Case of the Binomial,10.1093/biomet/26.4.404,THE USE OF CONFIDENCE OR FIDUCIAL LIMITS ILLUSTRATED IN THE CASE OF THE BINOMIAL,10.1093/biomet/26.4.404,"CLOPPER, C. J. and PEARSON, E. S.",Biometrika,1934,26,4,404-413,Oxford University Press (OUP),True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,conformalized quantile regression,
prokhorenkova2018catboost,CatBoost: unbiased boosting with categorical features,,,,,,,,,,"Curran Associates, Inc.",False,True,NON_DOI_VERIFIED,RETAIN,DIRECT_SUPPORT,delay risk classifier,
ke2017lightgbm,LightGBM: A Highly Efficient Gradient Boosting Decision Tree,,,,,,,,,,"Curran Associates, Inc.",False,True,NON_DOI_VERIFIED,RETAIN,DIRECT_SUPPORT,delay risk classifier,
chen2016xgboost,XGBoost: A Scalable Tree Boosting System,10.1145/2939672.2939785,XGBoost,10.1145/2939672.2939785,"Chen, Tianqi and Guestrin, Carlos",Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,2016,,,785-794,ACM,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,delay risk classifier,
breiman2001random,Random Forests,10.1023/A:1010933404324,Random Forests,10.1023/A:1010933404324,"Breiman, Leo",Machine Learning,2001,45,1,5-32,Springer Science and Business Media LLC,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,delay risk classifier,
chawla2002smote,SMOTE: Synthetic Minority Over-sampling Technique,10.1613/jair.953,SMOTE: Synthetic Minority Over-sampling Technique,10.1613/jair.953,"Chawla, N. V. and Bowyer, K. W. and Hall, L. O. and Kegelmeyer, W. P.",Journal of Artificial Intelligence Research,2002,16,,321-357,AI Access Foundation,True,True,VERIFIED_EXACT,RETAIN,BACKGROUND_SUPPORT,class imbalance,
bastani2021efficient,Efficient and targeted COVID-19 border testing via reinforcement learning,10.1038/s41586-021-04014-z,Efficient and targeted COVID-19 border testing via reinforcement learning,10.1038/s41586-021-04014-z,"Bastani, Hamsa and Drakopoulos, Kimon and Gupta, Vishal and Vlachogiannis, Ioannis and Hadjichristodoulou, Christos and Lagiou, Pagona and Magiorkinis, Gkikas and Paraskevis, Dimitrios and Tsiodras, Sotirios",Nature,2021,599,7883,108-113,Springer Science and Business Media LLC,True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,capacity-constrained operational triage,
bertsimas2020predictive,From Predictive to Prescriptive Analytics,10.1287/mnsc.2018.3253,From Predictive to Prescriptive Analytics,10.1287/mnsc.2018.3253,"Bertsimas, Dimitris and Kallus, Nathan",Management Science,2020,66,3,1025-1044,Institute for Operations Research and the Management Sciences (INFORMS),True,True,VERIFIED_EXACT,RETAIN,DIRECT_SUPPORT,capacity-constrained operational triage,
simchilevi2014superstorms,From Superstorms to Factory Fires: Managing High-Impact Supply Chain Risks,,,,,,,,,,Harvard Business Publishing,False,True,NON_DOI_VERIFIED,RETAIN,DIRECT_SUPPORT,capacity-constrained operational triage,
usaid2015scms,Supply Chain Management System: Final Program Report (2005--2015),,,,,,,,,,,False,True,NON_DOI_VERIFIED,RETAIN,DIRECT_SUPPORT,USAID SCMS program,
scmsdataset2016,USAID Supply Chain Management System (SCMS) Delivery History Dataset,,,,,,,,,,U.S. President's Emergency Plan for AIDS Relief (PEPFAR) / USAID Data Repository,False,True,NON_DOI_VERIFIED,RETAIN,DIRECT_SUPPORT,USAID SCMS program,
