strategy,evidence_label,k_fraction,k_shipments,delayed_captured,total_delayed,recall_at_k,high_severity_captured,total_high_severity,high_severity_recall_at_k,delay_days_captured,total_delay_days,delay_days_capture_ratio
Strategy_1_Risk_Only,SIMULATED SCENARIO,0.01,11,6,61,0.09836065573770492,1,15,0.06666666666666667,42.0,716.0,0.05865921787709497
Strategy_1_Risk_Only,SIMULATED SCENARIO,0.05,51,16,61,0.26229508196721313,2,15,0.13333333333333333,92.0,716.0,0.12849162011173185
Strategy_1_Risk_Only,SIMULATED SCENARIO,0.1,102,26,61,0.4262295081967213,10,15,0.6666666666666666,288.0,716.0,0.4022346368715084
Strategy_1_Risk_Only,SIMULATED SCENARIO,0.2,203,42,61,0.6885245901639344,15,15,1.0,619.0,716.0,0.8645251396648045
Strategy_2_Risk_x_Severity,SIMULATED SCENARIO,0.01,11,9,61,0.14754098360655737,8,15,0.5333333333333333,318.0,716.0,0.4441340782122905
Strategy_2_Risk_x_Severity,SIMULATED SCENARIO,0.05,51,21,61,0.3442622950819672,10,15,0.6666666666666666,414.0,716.0,0.5782122905027933
Strategy_2_Risk_x_Severity,SIMULATED SCENARIO,0.1,102,31,61,0.5081967213114754,13,15,0.8666666666666667,510.0,716.0,0.7122905027932961
Strategy_2_Risk_x_Severity,SIMULATED SCENARIO,0.2,203,36,61,0.5901639344262295,15,15,1.0,574.0,716.0,0.8016759776536313
Strategy_3_Uncertainty_Aware,SIMULATED SCENARIO,0.01,11,8,61,0.13114754098360656,8,15,0.5333333333333333,317.0,716.0,0.44273743016759776
Strategy_3_Uncertainty_Aware,SIMULATED SCENARIO,0.05,51,21,61,0.3442622950819672,10,15,0.6666666666666666,421.0,716.0,0.5879888268156425
Strategy_3_Uncertainty_Aware,SIMULATED SCENARIO,0.1,102,28,61,0.45901639344262296,13,15,0.8666666666666667,493.0,716.0,0.6885474860335196
Strategy_3_Uncertainty_Aware,SIMULATED SCENARIO,0.2,203,35,61,0.5737704918032787,14,15,0.9333333333333333,550.0,716.0,0.7681564245810056
