Capacity (K),Inspected,Prioritization Strategy,Delays Captured,Recall@K,High-Severity Captured,High-Severity Recall@K,Delay-Days Captured,Delay-Days Ratio
K = 1%,11,Strategy 1: Risk Only (p_cal),6/61,9.8%,1/15,6.7%,42.0 d,5.9%
K = 5%,51,Strategy 1: Risk Only (p_cal),16/61,26.2%,2/15,13.3%,92.0 d,12.8%
K = 10%,102,Strategy 1: Risk Only (p_cal),26/61,42.6%,10/15,66.7%,288.0 d,40.2%
K = 20%,203,Strategy 1: Risk Only (p_cal),42/61,68.9%,15/15,100.0%,619.0 d,86.5%
K = 1%,11,Strategy 2: Risk x Severity (p_cal * y_50),9/61,14.8%,8/15,53.3%,318.0 d,44.4%
K = 5%,51,Strategy 2: Risk x Severity (p_cal * y_50),21/61,34.4%,10/15,66.7%,414.0 d,57.8%
K = 10%,102,Strategy 2: Risk x Severity (p_cal * y_50),31/61,50.8%,13/15,86.7%,510.0 d,71.2%
K = 20%,203,Strategy 2: Risk x Severity (p_cal * y_50),36/61,59.0%,15/15,100.0%,574.0 d,80.2%
K = 1%,11,Strategy 3: Uncertainty-Aware (p_cal * y_95),8/61,13.1%,8/15,53.3%,317.0 d,44.3%
K = 5%,51,Strategy 3: Uncertainty-Aware (p_cal * y_95),21/61,34.4%,10/15,66.7%,421.0 d,58.8%
K = 10%,102,Strategy 3: Uncertainty-Aware (p_cal * y_95),28/61,45.9%,13/15,86.7%,493.0 d,68.9%
K = 20%,203,Strategy 3: Uncertainty-Aware (p_cal * y_95),35/61,57.4%,14/15,93.3%,550.0 d,76.8%
