experiment_id,git_commit,data_sha256,fold_id,model,train_rows,val_rows,val_positive_rows,val_delay_rate,pr_auc,roc_auc,brier_score,precision,recall,f1,balanced_accuracy,selected_threshold,runtime_seconds
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,0,Logistic Regression,3747,598,39,0.06521739130434782,0.09458703244359527,0.6113022338424843,0.25717075561702757,0.0918918918918919,0.4358974358974359,0.15178571428571427,0.56768038163387,0.6561287885954917,0.18639707565307617
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,0,Random Forest,3747,598,39,0.06521739130434782,0.0776948690905501,0.5567405164900693,0.15987164287060773,0.0,0.0,0.0,0.5,0.669158954701655,0.6938948631286621
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,0,XGBoost,3747,598,39,0.06521739130434782,0.09443371610411977,0.6226778588138159,0.07855866104364395,0.16666666666666666,0.02564102564102564,0.044444444444444446,0.5083482409063804,0.7713569402694702,0.36704516410827637
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,0,LightGBM,3747,598,39,0.06521739130434782,0.12848475618907307,0.6666207972111371,0.07033129419151815,1.0,0.02564102564102564,0.05,0.5128205128205128,0.7920563474568159,0.46862125396728516
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,0,CatBoost,3747,598,39,0.06521739130434782,0.10773255949878471,0.6518508325306177,0.09532887106119074,0.25,0.02564102564102564,0.046511627906976744,0.5101371496720334,0.6884679742549018,12.79456377029419
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,1,Logistic Regression,4302,618,99,0.16019417475728157,0.22001257529029483,0.6666472042194587,0.16837351033799117,0.125,0.0707070707070707,0.09032258064516129,0.48814736965025984,0.6362689501787356,0.20647859573364258
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,1,Random Forest,4302,618,99,0.16019417475728157,0.21834656639031919,0.6640976236351959,0.15957163262390722,0.0,0.0,0.0,0.5,0.6588176629660778,0.6954843997955322
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,1,XGBoost,4302,618,99,0.16019417475728157,0.23312459354264156,0.6635526751133687,0.14937567710876465,0.0,0.0,0.0,0.49903660886319845,0.796663224697113,0.3735806941986084
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,1,LightGBM,4302,618,99,0.16019417475728157,0.2018391752777426,0.6361884743387634,0.15875306918637233,0.0,0.0,0.0,0.49903660886319845,0.8038677441073786,0.34496045112609863
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,1,CatBoost,4302,618,99,0.16019417475728157,0.24680223761739076,0.6916759113290905,0.13886661914184878,0.0,0.0,0.0,0.49710982658959535,0.727833380089553,12.512188911437988
