strategy,k_fraction,recall_at_k_mean,recall_at_k_std,high_severity_recall_at_k_mean,high_severity_recall_at_k_std,delay_days_capture_ratio_mean,delay_days_capture_ratio_std
Strategy_1_Risk_Only,0.01,0.02905031028596783,0.028845609614861156,0.013426423200859289,0.019086311110544426,0.01473396931098958,0.018333426269330554
Strategy_1_Risk_Only,0.05,0.08498748089215874,0.05355379909592741,0.08089867525957752,0.07826186724383512,0.06289426497826768,0.05874980258466686
Strategy_1_Risk_Only,0.1,0.17180670854104219,0.09348096274958528,0.20417114214106694,0.21895729650078077,0.15639675586266094,0.13566102308933745
Strategy_1_Risk_Only,0.2,0.33744234386776306,0.12815946376126763,0.41288538807335795,0.18168384352424036,0.38275682883402784,0.19535774105996462
Strategy_2_Risk_x_Severity,0.01,0.03203898582539359,0.021444327864194306,0.03501611170784103,0.05392864570405768,0.0398313853830247,0.05500072510671031
Strategy_2_Risk_x_Severity,0.05,0.08111660429400942,0.059295539604523315,0.07121374865735768,0.10289764073204664,0.08183412546326509,0.10362192267321525
Strategy_2_Risk_x_Severity,0.1,0.157407519419876,0.10736592859806109,0.16346819429526196,0.1969488980337262,0.1580453220758345,0.15573235714963576
Strategy_2_Risk_x_Severity,0.2,0.2905955200041696,0.13241826959830097,0.34049210327405816,0.24182715612211916,0.34163985909636285,0.1928803566474858
Strategy_3_Uncertainty_Aware,0.01,0.02695165381837932,0.030402831199443505,0.02857142857142857,0.06388765649999399,0.03352606956349162,0.0669400781323864
Strategy_3_Uncertainty_Aware,0.05,0.11715841283361142,0.09026305654878157,0.19486414448820463,0.19090690961050202,0.14462925498151874,0.15285472278174916
Strategy_3_Uncertainty_Aware,0.1,0.21861831019818662,0.14488006231938633,0.3314397103870788,0.283237207655638,0.22969522480008023,0.19829067630906616
Strategy_3_Uncertainty_Aware,0.2,0.38846124357157014,0.1729526088079897,0.511827187015157,0.31206669792248243,0.40291592159491196,0.2002169707398824
